slug,page_path,symbol_category,copy_pattern,has_collection_now,collection_opportunity,verdict,rationale,source,checked_date
china-emoji-combos,library/china-emoji-combos/index.html,China Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
chinese-symbols,library/chinese-symbols/index.html,Chinese Symbols,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
christmas-symbols,library/christmas-symbols/index.html,Christmas Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
clock-time-symbols,library/clock-time-symbols/index.html,Clock & Time Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
clothing-fashion-emojis,library/clothing-fashion-emojis/index.html,Clothing & Fashion Emojis,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
colombia-emoji-combos,library/colombia-emoji-combos/index.html,Colombia Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
color-emoji-combos,library/color-emoji-combos/index.html,Color Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
copyright-trademark-symbols,library/copyright-trademark-symbols/index.html,"Copyright, Trademark & Legal Symbols",single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
coquette-symbols,library/coquette-symbols/index.html,Coquette aesthetic,collection,yes,yes,KEEP,"Soft feminine bio decoration; bows, hearts and dust strings are pasted together as aesthetic units.",legacy,2026-06-17
costa-rica-emoji-combos,library/costa-rica-emoji-combos/index.html,Costa Rica Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
cottagecore-symbols,library/cottagecore-symbols/index.html,Cottagecore aesthetic,collection,yes,yes,KEEP,Cottagecore bio decoration including a Soft Cottagecore Borders set pasted as a unit.,legacy,2026-06-17
croatia-emoji-combos,library/croatia-emoji-combos/index.html,Croatia Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
cross-x-symbols,library/cross-x-symbols/index.html,Crosses / X marks,single,no,no,N/A,Crosses and X marks are copied individually for a specific glyph.,legacy,2026-06-17
crown-royalty-symbols,library/crown-royalty-symbols/index.html,Crowns/royalty,single,no,no,N/A,A single crown or tiara is copied for a username; it is not pasted as a set.,legacy,2026-06-17
crying-emoji,library/crying-emoji/index.html,Crying Emoji & Kaomoji,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
currency-symbols,library/currency-symbols/index.html,Currency signs,single,no,no,N/A,Currency signs are copied one at a time for a price (explicit single-glyph case).,legacy,2026-06-17
dash-hyphen-symbols,library/dash-hyphen-symbols/index.html,Dashes/hyphens,single,no,no,N/A,"A specific dash or hyphen is copied for typography, not as a collection.",legacy,2026-06-17
de-bruyne-emoji-combos,library/de-bruyne-emoji-combos/index.html,De Bruyne Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
degree-symbol,library/degree-symbol/index.html,Degree Symbol,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
denmark-emoji-combos,library/denmark-emoji-combos/index.html,Denmark Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
di-maria-emoji-combos,library/di-maria-emoji-combos/index.html,Di Maria Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
dice-domino-symbols,library/dice-domino-symbols/index.html,"Dice, Domino & Mahjong Symbols",single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
discord-symbols,library/discord-symbols/index.html,Discord decoration,collection,yes,yes,KEEP,Explicit Symbol Combo Templates and Dividers sections are built to be pasted whole into Discord bios and channels.,legacy,2026-06-17
diwali-symbols,library/diwali-symbols/index.html,Diwali Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
dreamcore-weirdcore-symbols,library/dreamcore-weirdcore-symbols/index.html,Dreamcore & Weirdcore Symbols,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
easter-symbols,library/easter-symbols/index.html,Easter Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
ecuador-emoji-combos,library/ecuador-emoji-combos/index.html,Ecuador Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
egypt-emoji-combos,library/egypt-emoji-combos/index.html,Egypt Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
egyptian-hieroglyphs,library/egyptian-hieroglyphs/index.html,Hieroglyphs,single,no,no,N/A,"A reference of 1,072 glyphs browsed to copy one specific hieroglyph.",legacy,2026-06-17
electrical-circuit-symbols,library/electrical-circuit-symbols/index.html,Electrical & Circuit Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
email-symbols,library/email-symbols/index.html,Email utility symbols,single,no,no,N/A,"Subject grabbers, bullets and status icons are inserted individually; dividers are single-character.",legacy,2026-06-17
emoji-combos,library/emoji-combos/index.html,Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
emoji-flags,library/emoji-flags/index.html,Country flags,collection,yes,yes,KEEP,Regional flag grids are pasted as sets - already implemented and a genuine fit.,legacy,2026-06-17
emoji-meanings-guide,library/emoji-meanings-guide/index.html,Editorial guide,single,no,no,N/A,"Editorial guide explaining emoji meanings, not a copy-grid page.",legacy,2026-06-17
england-emoji-combos,library/england-emoji-combos/index.html,England Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
evil-eye-hamsa-symbols,library/evil-eye-hamsa-symbols/index.html,Evil Eye & Hamsa Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
face-emojis,library/face-emojis/index.html,Face emojis,single,no,no,N/A,One expressive face emoji is chosen per context.,legacy,2026-06-17
fairycore-symbols,library/fairycore-symbols/index.html,Fairycore Symbols,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
fantasy-mythical-emojis,library/fantasy-mythical-emojis/index.html,Fantasy & Mythical Emojis,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
flower-symbols,library/flower-symbols/index.html,Flowers/nature,collection,yes,yes,KEEP,Has a Floral Dividers & Aesthetic Bio Sets section; floral strings are pasted whole as decoration.,legacy,2026-06-17
foden-emoji-combos,library/foden-emoji-combos/index.html,Foden Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
food-drink-emojis,library/food-drink-emojis/index.html,Food/drink emojis,single,no,no,N/A,Food and drink emojis are picked individually.,legacy,2026-06-17
football-ascii-art,library/football-ascii-art/index.html,Football ASCII Art,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
football-emoji-copy-paste,library/football-emoji-copy-paste/index.html,Football Emoji,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
football-kaomoji,library/football-kaomoji/index.html,Football Kaomoji,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
football-reaction-emojis,library/football-reaction-emojis/index.html,Football Reaction Emojis,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
football-symbols,library/football-symbols/index.html,Football Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
football-trophy-emoji,library/football-trophy-emoji/index.html,Football Trophy Emoji,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
football-username-ideas,library/football-username-ideas/index.html,Football Username Ideas,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
fortnite-symbols,library/fortnite-symbols/index.html,Fortnite Symbols,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
fourth-of-july-symbols,library/fourth-of-july-symbols/index.html,Fourth of July Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
fraction-symbols,library/fraction-symbols/index.html,Fraction Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
france-emoji-combos,library/france-emoji-combos/index.html,France Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
free-fire-name-symbols,library/free-fire-name-symbols/index.html,Free Fire Name Symbols,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
friendship-emojis,library/friendship-emojis/index.html,Friendship & Love Emojis,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
funny-emoji-combos,library/funny-emoji-combos/index.html,Funny Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
gavi-emoji-combos,library/gavi-emoji-combos/index.html,Gavi Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
gender-symbols,library/gender-symbols/index.html,Gender Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
geometric-symbols,library/geometric-symbols/index.html,Geometric shapes,single,no,no,N/A,Geometric shapes are functional single glyphs used for formatting.,legacy,2026-06-17
germany-emoji-combos,library/germany-emoji-combos/index.html,Germany Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
ghana-emoji-combos,library/ghana-emoji-combos/index.html,Ghana Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
goal-emoji-combos,library/goal-emoji-combos/index.html,Goal Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
goat-emoji-combos,library/goat-emoji-combos/index.html,GOAT Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
goth-grunge-symbols,library/goth-grunge-symbols/index.html,Goth/grunge aesthetic,collection,yes,yes,KEEP,"Dark-aesthetic bio decoration; crosses, daggers and dark florals are strung together as units.",legacy,2026-06-17
greece-emoji-combos,library/greece-emoji-combos/index.html,Greece Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
greek-letter-symbols,library/greek-letter-symbols/index.html,Greek Letter Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
greeting-message-emojis,library/greeting-message-emojis/index.html,Greeting & Message Emojis,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
griezmann-emoji-combos,library/griezmann-emoji-combos/index.html,Griezmann Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
guess-soccer-player-by-emoji,library/guess-soccer-player-by-emoji/index.html,Guess the Soccer Player,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
guess-soccer-team-by-emoji,library/guess-soccer-team-by-emoji/index.html,Guess the Soccer Team,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
haaland-emoji-combos,library/haaland-emoji-combos/index.html,Haaland Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
halloween-symbols,library/halloween-symbols/index.html,Halloween Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
hand-symbols,library/hand-symbols/index.html,Hand emojis,single,no,no,N/A,Hand gestures are copied singly.,legacy,2026-06-17
happy-emoji,library/happy-emoji/index.html,Happy Emoji & Kaomoji,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
hazard-warning-symbols,library/hazard-warning-symbols/index.html,Hazard & Warning Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
heart-symbols,library/heart-symbols/index.html,Hearts,collection,yes,yes,KEEP,Colored-heart sets and decorative heart strings are commonly pasted whole into bios (weaker fit than dedicated decoration pages).,legacy,2026-06-17
hindi-symbols,library/hindi-symbols/index.html,Hindi Symbols,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
honduras-emoji-combos,library/honduras-emoji-combos/index.html,Honduras Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
html-entities,library/html-entities/index.html,HTML Entities,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
india-emoji-combos,library/india-emoji-combos/index.html,India Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
instagram-symbols,library/instagram-symbols/index.html,Instagram decoration,collection,yes,yes,KEEP,Explicit Instagram Symbol Combos are built to paste as bio and caption units.,legacy,2026-06-17
invisible-character,library/invisible-character/index.html,Invisible Character,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
ipa-phonetic-symbols,library/ipa-phonetic-symbols/index.html,IPA Phonetic Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
iran-emoji-combos,library/iran-emoji-combos/index.html,Iran Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
ireland-emoji-combos,library/ireland-emoji-combos/index.html,Ireland Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
islamic-symbols,library/islamic-symbols/index.html,Islamic Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
italy-emoji-combos,library/italy-emoji-combos/index.html,Italy Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
ivory-coast-emoji-combos,library/ivory-coast-emoji-combos/index.html,Ivory Coast Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
jamaica-emoji-combos,library/jamaica-emoji-combos/index.html,Jamaica Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
japan-emoji-combos,library/japan-emoji-combos/index.html,Japan Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
japanese-symbols,library/japanese-symbols/index.html,Japanese Symbols,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
jewelry-gem-emojis,library/jewelry-gem-emojis/index.html,Jewelry & Gem Emojis,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
kane-emoji-combos,library/kane-emoji-combos/index.html,Kane Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
kawaii-cute-symbols,library/kawaii-cute-symbols/index.html,Kawaii aesthetic,collection,yes,yes,KEEP,Cute decorative marks and pastel motifs are pasted together as aesthetic strings.,legacy,2026-06-17
keyboard-symbols,library/keyboard-symbols/index.html,Keyboard Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
korean-symbols,library/korean-symbols/index.html,Korean Symbols,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
kvaratskhelia-emoji-combos,library/kvaratskhelia-emoji-combos/index.html,Kvaratskhelia Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
latex-symbols,library/latex-symbols/index.html,LaTeX Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
laughing-emoji,library/laughing-emoji/index.html,Laughing Emoji & Kaomoji,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
laundry-care-symbols,library/laundry-care-symbols/index.html,Laundry Care Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
lautaro-martinez-emoji-combos,library/lautaro-martinez-emoji-combos/index.html,Lautaro Martinez Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
lewandowski-emoji-combos,library/lewandowski-emoji-combos/index.html,Lewandowski Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
line-divider-symbols,library/line-divider-symbols/index.html,Line dividers,collection,yes,yes,KEEP,Built around Decorative Divider Combos and Ornamental Separator Combos - multi-symbol dividers pasted as a unit.,legacy,2026-06-17
linkedin-comment-styling,library/linkedin-comment-styling/index.html,Editorial guide,single,no,no,N/A,"Editorial how-to guide, not a copy-grid page.",legacy,2026-06-17
linkedin-symbol-library,library/linkedin-symbol-library/index.html,LinkedIn utility,single,no,no,N/A,"Professional arrows, bullets and numbers are copied individually with no formatting loss.",legacy,2026-06-17
loading-text-symbols,library/loading-text-symbols/index.html,Loading Text & Progress Bars,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
math-symbols,library/math-symbols/index.html,Math operators,single,no,no,N/A,"Math operators, comparison and set symbols are looked up one at a time (explicit single-glyph case); collection copy is a poor fit despite current use.",legacy,2026-06-17
mbappe-emoji-combos,library/mbappe-emoji-combos/index.html,Mbappe Emoji Combos,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
media-control-symbols,library/media-control-symbols/index.html,Media Control Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
medical-symbols,library/medical-symbols/index.html,Medical Symbols,single,no,no,N/A,Spec copy_pattern=single: glyphs are copied individually; there is no whole-set paste job.,spec,2026-06-17
meme-text-art,library/meme-text-art/index.html,Meme Text Art,collection,yes,yes,KEEP,Spec copy_pattern=collection: page ships a buildGrids set-copy block; pasting the whole set is a real job.,spec,2026-06-17
