rater,status,archetype,mode,code,usability,readability,structure,image,colour,defects
R1,current,J,OUTLINE_ONLY,AHQ,5,5,5.0,,,none
R1,current,J,TINT_55,UNE,3,3,3.0,,,all text faded to grey; trace words and dashed guides very pale; answer lines grey
R1,current,J,SUPER_ECO_BW,LES,3,5,5.0,,,trace words now solid black (no longer grey to trace over)
R1,current,J,BW_THRESHOLD,HKO,2,5,2.0,,,grey trace words and dashed trace guides vanished completely; binarised text
R1,current,J,COMBINED_ECO+STRUCT_75,VWX,4,4,4.0,,,title and labels grey; trace words and dashed guides pale
R1,current,J,STANDARD,SPP,5,5,5.0,,,none
R1,current,J,COMBINED_REMOVE+TINT_75,XJU,4,4,4.0,,,text grey; trace words and dashed guides pale
R1,current,J,GRAYSCALE,WUH,5,5,5.0,,,none
R1,current,J,TINT_FILL_55,AHC,5,5,5.0,,,none
R1,current,J,BW_SEMANTIC,WQO,3,5,5.0,,,trace words now solid black (no longer grey to trace over)
R1,current,J,OPACITY_GROUP_75,STN,4,4,4.0,,,text grey; trace words and dashed guides pale
R1,current,J,TINT_FILL_30,JTQ,5,5,5.0,,,none
R1,current,J,OUTLINE_NAIVE,NLG,5,5,5.0,,,none
R1,current,K,TINT_FILL_55,TFK,5,5,5.0,5.0,,none
R1,current,K,HALFTONE_M,UOC,5,5,5.0,4.0,,"faint dot-pattern texture on background, banner and icon fills"
R1,current,K,OPACITY_GROUP_75,NVQ,5,5,5.0,5.0,,white title on pink banner; body text dark grey
R1,current,K,TINT_55,LYE,4,4,4.0,5.0,,"text, answer lines and box lightened to grey; decoration paler"
R1,current,K,COMBINED_REMOVE+TINT_75,UWX,5,5,5.0,,,"all decoration removed (border, banner, icons); text dark grey"
R1,current,K,COMBINED_ECO+STRUCT_75,MMT,5,5,5.0,,,"all decoration removed (border, banner, icons); text dark grey"
R1,current,K,STANDARD,VDN,5,5,5.0,5.0,,none
R1,current,K,ECO_COLOUR,MJK,5,5,5.0,,,"all decoration removed (border, banner, icons)"
R1,current,K,BW_THRESHOLD,HZV,5,5,5.0,3.0,,decoration converted to black/outline; sun icons lost their rays; frame removed
R1,current,K,HIGH_CONTRAST,NCS,5,5,5.0,5.0,,border converted to solid black
R1,superseded (pre-fix render),K,SUPER_ECO_BW,XJK,4,4,5.0,,,title removed along with banner and all decoration
R1,current,K,TINT_FILL_30,HYZ,5,5,5.0,4.0,,decoration very pale
R1,current,K,BG_REMOVAL,WXI,5,5,5.0,5.0,,background tint removed
R1,superseded (pre-fix render),K,COPY_SAFE_ECO,KOY,4,4,5.0,,,title removed along with banner and all decoration
R1,current,K,GRAYSCALE,RHA,5,5,5.0,4.0,,converted to greys; grey page tint
R1,current,K,OUTLINE_NAIVE,GYN,4,4,5.0,4.0,,white title text vanished (banner now outline on white); icons outline only
R1,current,K,BW_SEMANTIC,MQG,5,5,5.0,4.0,,decoration converted to solid black and white
R1,current,K,DECOR_REMOVAL,WHU,5,5,5.0,,,decoration removed except yellow page tint
R1,current,K,DITHER_M,UKI,4,4,5.0,4.0,,"speckle noise texture on background, banner and icon fills"
R1,current,K,OPACITY_GROUP_60,LWP,4,4,4.0,5.0,,text and answer lines lightened to grey
R1,current,K,OUTLINE_ONLY,DLA,5,5,5.0,4.0,,decoration outline only
R1,current,L,SUPER_ECO_BW,TZE,5,5,5.0,4.0,,pictures reduced to black outlines (flower less recognisable)
R1,current,L,TINT_55,NIM,4,4,3.0,5.0,,words grey; cut lines light grey and faint
R1,current,L,OPACITY_GROUP_60,CJD,4,4,3.0,5.0,,words grey; cut lines light grey and faint
R1,current,L,OPACITY_GROUP_75,SMT,5,5,4.0,5.0,,cut lines mid grey
R1,current,L,HIGH_CONTRAST,BXO,5,5,5.0,5.0,,none
R1,current,L,DITHER_M,QCU,4,5,5.0,4.0,,speckle noise texture on pictures and card backgrounds
R1,current,L,COMBINED_ECO+STRUCT_75,NEU,4,4,4.0,5.0,,words grey; cut lines lighter; card tints removed
R1,current,L,OUTLINE_ONLY,OZY,5,5,4.0,4.0,,pictures outline only; extra rounded card borders inside the dashed cut lines
R1,current,L,HALFTONE_M,NFH,4,5,5.0,4.0,,halftone dot pattern on pictures and card backgrounds
R1,current,L,TINT_FILL_30,BKX,5,5,5.0,4.0,,pictures very pale
R1,current,L,GRAYSCALE,CIO,4,5,5.0,4.0,,converted to greys; grey card backgrounds; apple and flower dark grey blobs
R1,current,L,OUTLINE_NAIVE,FEH,5,5,4.0,4.0,,pictures outline only; extra rounded card borders inside the dashed cut lines
R1,current,L,STANDARD,HOL,5,5,5.0,5.0,,none
R1,current,L,BG_REMOVAL,DXX,5,5,5.0,5.0,,none
R1,current,L,DECOR_REMOVAL,PHN,5,5,5.0,5.0,,card background tints removed
R1,current,L,COMBINED_REMOVE+TINT_75,KOX,4,4,4.0,5.0,,words grey; colours slightly faded; cut lines lighter
R1,current,L,COPY_SAFE_ECO,MGC,5,5,5.0,5.0,,none
R1,current,L,BW_THRESHOLD,DCX,3,5,5.0,2.0,,"pictures binarised: sun lost rays (plain circle); apple, flower, fish, balloon solid black silhouettes"
R1,current,L,ECO_COLOUR,BWE,5,5,5.0,5.0,,pastel pictures; card tints removed
R1,current,L,TINT_FILL_55,WKY,5,5,5.0,5.0,,pastel colours
R1,current,L,BW_SEMANTIC,WJY,4,5,5.0,3.0,,"apple, flower, fish, balloon solid black silhouettes; extra card borders"
R2,current,A,OUTLINE_ONLY,PAA,5,5,5.0,,,none
R2,current,A,DECOR_REMOVAL,RDS,5,5,5.0,,,none
R2,current,A,BW_THRESHOLD,YEM,1,5,2.0,,,tracing letters and dashed midline vanished; only ruled lines and stray specks remain
R2,current,A,BG_REMOVAL,ILS,5,5,5.0,,,none
R2,current,A,ECO_COLOUR,UWH,5,5,5.0,,,none
R2,current,A,COPY_SAFE_ECO,CIC,4,5,4.0,,,tracing letters and midline darker mid-grey; less trace-like
R2,current,A,OUTLINE_NAIVE,LQW,5,5,5.0,,,none
R2,current,A,DITHER_M,PRI,5,5,5.0,,,none
R2,current,A,HIGH_CONTRAST,ZYW,4,5,4.0,,,tracing letters darker mid-grey; less trace-like
R2,current,A,SUPER_ECO_BW,GKW,2,5,2.0,,,tracing letters now solid black; midline dark
R2,current,A,COMBINED_ECO+STRUCT_75,KBG,4,4,4.0,,,title grey; tracing letters and midline lighter
R2,current,A,TINT_FILL_30,CQH,5,5,5.0,,,none
R2,current,A,HALFTONE_M,TCW,5,5,5.0,,,none
R2,current,A,OPACITY_GROUP_75,FVL,4,4,4.0,,,title grey; tracing letters pale and midline faint
R2,current,A,TINT_55,WHI,3,4,3.0,,,"everything faded: tracing letters very pale, midline barely visible, grey title and rules"
R2,current,A,STANDARD,SAX,5,5,5.0,,,none
R2,current,A,COMBINED_REMOVE+TINT_75,AKD,4,4,4.0,,,title grey; tracing letters and midline lighter
R2,current,A,TINT_FILL_55,KZC,5,5,5.0,,,none
R2,current,A,OPACITY_GROUP_60,WKJ,3,4,3.0,,,"faded: tracing letters very pale, midline faint, grey title and rules"
R2,current,A,BW_SEMANTIC,MPZ,2,5,2.0,,,tracing letters now solid black; midline dark
R2,current,A,GRAYSCALE,CNU,5,5,5.0,,,none
R2,current,B,COPY_SAFE_ECO,LMQ,5,5,5.0,,,none
R2,current,B,BW_THRESHOLD,ESY,5,5,5.0,,,none
R2,current,B,HIGH_CONTRAST,VDS,5,5,5.0,,,none
R2,current,B,SUPER_ECO_BW,QBC,5,5,5.0,,,none
R2,current,B,TINT_FILL_55,LLW,5,5,5.0,,,none
R2,current,B,COMBINED_ECO+STRUCT_75,DNR,4,4,4.0,,,"title, grid letters, word list and grid lines mid-grey"
R2,current,B,STANDARD,YPG,5,5,5.0,,,none
R2,current,B,HALFTONE_M,HBR,5,5,5.0,,,none
R2,current,B,OUTLINE_ONLY,AGE,5,5,5.0,,,none
R2,current,B,TINT_55,WHM,4,4,4.0,,,all text and grid lines lighter grey; small instruction line faint
R2,current,B,COMBINED_REMOVE+TINT_75,SCC,5,5,4.0,,,grid letters dark grey; grid lines lighter grey
R2,current,B,OPACITY_GROUP_60,YZZ,4,4,4.0,,,all text and grid lines lighter grey; small instruction line faint
R2,current,B,OPACITY_GROUP_75,RLF,4,4,4.0,,,grey title and letters; light grey grid lines
R2,current,B,DITHER_M,EHR,5,5,5.0,,,none
R2,current,B,BW_SEMANTIC,PTE,5,5,5.0,,,none
R2,current,B,OUTLINE_NAIVE,DTE,5,5,5.0,,,none
R2,current,B,TINT_FILL_30,LTD,5,5,5.0,,,none
R2,current,B,ECO_COLOUR,LGE,5,5,5.0,,,none
R2,current,B,GRAYSCALE,VQN,5,5,5.0,,,none
R2,current,B,BG_REMOVAL,UQJ,5,5,5.0,,,none
R2,current,B,DECOR_REMOVAL,HCM,5,5,5.0,,,none
R2,current,C,OPACITY_GROUP_75,HZQ,4,4,,,,title and body text dark grey; reduced contrast
R2,current,C,HIGH_CONTRAST,EYQ,5,5,,,,none
R2,current,C,COMBINED_REMOVE+TINT_75,VYH,4,4,,,,title grey; body text dark grey; reduced contrast
R2,current,C,OUTLINE_ONLY,PTD,5,5,,,,none
R2,current,C,SUPER_ECO_BW,IBG,5,5,,,,none
R2,current,C,TINT_55,AWL,3,3,,,,title and body text mid-grey; low contrast for sustained reading
R2,current,C,GRAYSCALE,QKM,5,5,,,,none
R2,current,C,BG_REMOVAL,RAS,5,5,,,,none
R2,current,C,BW_SEMANTIC,PIC,5,5,,,,none
R2,current,C,DECOR_REMOVAL,KYM,5,5,,,,none
